%%MatrixMarket matrix coordinate integer general
235 106 1
23 107 1
90 107 1
125 107 1
176 107 1
188 107 1
190 107 1
195 107 1
212 107 1
221 107 1
223 107 1
224 107 1
229 107 1
233 107 1
234 107 1
237 107 1
238 107 1
23 108 1
36 108 1
54 108 1
57 108 1
65 108 1
23 109 1
240 109 1
244 109 1
24 110 1
33 110 1
37 110 1
39 110 1
42 110 1
44 110 1
61 110 1
80 110 1
93 110 1
95 110 1
193 110 1
210 110 1
212 110 1
24 111 1
56 111 1
71 111 1
223 111 1
229 111 1
24 112 1
45 112 1
194 112 1
208 112 1
24 113 1
154 113 1
172 113 1
252 113 1
24 114 1
57 114 1
76 114 1
103 114 1
108 114 1
131 114 1
133 114 1
158 114 1
242 114 1
24 115 1
42 115 1
75 115 1
84 115 1
85 115 1
88 115 1
25 116 1
128 116 1
254 116 1
25 117 1
26 117 1
27 117 1
99 117 1
243 117 1
25 118 1
32 118 1
160 118 1
25 119 1
105 119 1
142 119 1
184 119 1
26 120 1
234 120 1
249 120 1
26 121 1
142 121 1
143 121 1
144 121 1
165 121 1
228 121 1
239 121 1
28 122 1
33 122 1
44 122 1
89 122 1
211 122 1
28 123 1
31 123 1
63 123 1
64 123 1
66 123 1
69 123 1
71 123 1
80 123 1
81 123 1
86 123 1
190 123 1
194 123 1
198 123 1
202 123 1
209 123 1
241 123 1
28 124 1
34 124 1
108 124 1
28 125 1
42 125 1
51 125 1
224 125 1
237 125 1
241 125 1
247 125 1
28 126 1
54 126 1
57 126 1
161 126 1
165 126 1
186 126 1
29 127 1
34 127 1
190 127 1
199 127 1
221 127 1
223 127 1
224 127 1
228 127 1
242 127 1
29 128 1
82 128 1
84 128 1
250 128 1
29 129 1
202 129 1
229 129 1
29 130 1
41 130 1
70 130 1
71 130 1
30 131 1
54 131 1
63 131 1
31 132 1
63 132 1
64 132 1
71 132 1
79 132 1
81 132 1
82 132 1
86 132 1
190 132 1
222 132 1
237 132 1
240 132 1
241 132 1
242 132 1
31 133 1
32 133 1
44 133 1
194 133 1
31 134 1
47 134 1
49 134 1
223 134 1
34 135 1
197 135 1
236 135 1
35 136 1
39 136 1
52 136 1
74 136 1
197 136 1
240 136 1
246 136 1
35 137 1
67 137 1
121 137 1
216 137 1
36 138 1
225 138 1
248 138 1
36 139 1
42 139 1
63 139 1
69 139 1
73 139 1
78 139 1
91 139 1
94 139 1
141 139 1
204 139 1
215 139 1
218 139 1
36 140 1
42 140 1
55 140 1
63 140 1
78 140 1
87 140 1
37 141 1
41 141 1
61 141 1
75 141 1
79 141 1
80 141 1
95 141 1
193 141 1
202 141 1
204 141 1
206 141 1
207 141 1
208 141 1
252 141 1
253 141 1
37 142 1
53 142 1
68 142 1
